2000.000000,-4999.529785,156.800003
2000.000000,-4957.899902,181.470001
2000.000000,-4916.290039,205.940002
2000.000000,-4874.699707,230.209991
2000.000000,-4833.129883,254.299988
2000.000000,-4791.580078,278.190002
2000.000000,-4750.060059,301.880005
2000.000000,-4708.560059,325.389984
2000.000000,-4667.080078,348.699982
2000.000000,-4625.620117,371.819977
2000.000000,-4584.179688,394.750000
2000.000000,-4542.759766,417.479980
2000.000000,-4501.359863,440.019989
2000.000000,-4480.669922,451.220001
2000.000000,-4418.640137,484.519989
2000.000000,-4377.310059,506.489990
2000.000000,-4336.000000,528.260010
2000.000000,-4294.709961,549.849976
2000.000000,-4253.439941,571.239990
2000.000000,-4212.189941,592.440002
2000.000000,-4170.959961,613.450012
2000.000000,-4129.750000,634.260010
2000.000000,-4088.559814,654.890015
2000.000000,-4047.389893,675.320007
2000.000000,-4006.250000,695.570007
2000.000000,-3965.129883,715.619995
2000.000000,-3924.030029,735.479980
2000.000000,-3903.489990,745.339966
2000.000000,-3841.889893,774.630005
2000.000000,-3800.849854,793.919983
2000.000000,-3759.829834,813.019958
2000.000000,-3718.829834,831.929993
2000.000000,-3677.849854,850.649963
2000.000000,-3636.889893,869.179993
2000.000000,-3595.959961,887.519958
2000.000000,-3555.049805,905.669983
2000.000000,-3514.159912,923.630005
2000.000000,-3473.290039,941.399963
2000.000000,-3432.439941,958.979980
2000.000000,-3391.609863,976.369995
2000.000000,-3350.799805,993.570007
2000.000000,-3310.010010,1010.579956
2000.000000,-3269.239990,1027.400024
2000.000000,-3228.489990,1044.030029
2000.000000,-3208.129883,1052.280029
2000.000000,-3147.069824,1076.729980
2000.000000,-3106.389893,1092.799927
2000.000000,-3065.729980,1108.669922
2000.000000,-3025.089844,1124.359985
2000.000000,-2984.469971,1139.859985
2000.000000,-2964.169922,1147.539917
2000.000000,-2903.290039,1170.289917
2000.000000,-2862.729980,1185.219971
2000.000000,-2822.189941,1199.969971
2000.000000,-2781.669922,1214.520020
2000.000000,-2741.169922,1228.890015
2000.000000,-2700.689941,1243.069946
2000.000000,-2660.229980,1257.059937
2000.000000,-2619.790039,1270.869995
2000.000000,-2579.379883,1284.489990
2000.000000,-2538.989990,1297.919922
2000.000000,-2498.619873,1311.159912
2000.000000,-2458.270020,1324.209961
2000.000000,-2438.099854,1330.669922
2000.000000,-2377.629883,1349.760010
2000.000000,-2337.339844,1362.250000
2000.000000,-2297.070068,1374.559937
2000.000000,-2256.820068,1386.679932
2000.000000,-2216.589844,1398.609985
2000.000000,-2176.379883,1410.359985
2000.000000,-2136.189941,1421.919922
2000.000000,-2096.020020,1433.289917
2000.000000,-2055.869873,1444.479980
2000.000000,-2015.739990,1455.479980
2000.000000,-1975.640015,1466.289917
2000.000000,-1935.559937,1476.919922
2000.000000,-1895.500000,1487.359985
2000.000000,-1875.479980,1492.510010
2000.000000,-1815.439941,1507.679932
2000.000000,-1775.439941,1517.569946
2000.000000,-1735.459961,1527.270020
2000.000000,-1695.500000,1536.779907
2000.000000,-1655.559937,1546.109985
2000.000000,-1615.640015,1555.250000
2000.000000,-1575.739990,1564.209961
2000.000000,-1535.859985,1572.979980
2000.000000,-1496.000000,1581.569946
2000.000000,-1456.159912,1589.969971
2000.000000,-1416.339966,1598.189941
2000.000000,-1376.539917,1606.219971
2000.000000,-1336.760010,1614.069946
2000.000000,-1297.000000,1621.729980
2000.000000,-1257.260010,1629.209961
2000.000000,-1217.539917,1636.500000
2000.000000,-1177.839966,1643.609985
2000.000000,-1138.160034,1650.539917
2000.000000,-1098.500000,1657.279907
2000.000000,-1078.679932,1660.579956
2000.000000,-1039.049927,1667.049927
2000.000000,-979.639954,1676.399902
2000.000000,-940.059998,1682.409912
2000.000000,-900.500000,1688.229980
2000.000000,-860.959961,1693.869995
2000.000000,-821.449951,1699.319946
2000.000000,-781.959961,1704.589966
2000.000000,-742.489990,1709.679932
2000.000000,-703.039978,1714.579956
2000.000000,-663.609985,1719.299927
2000.000000,-624.200012,1723.839966
2000.000000,-584.809998,1728.189941
2000.000000,-545.440002,1732.359985
2000.000000,-506.089996,1736.349976
2000.000000,-466.759979,1740.159912
2000.000000,-427.449982,1743.779907
2000.000000,-388.160004,1747.219971
2000.000000,-348.889984,1750.479980
2000.000000,-329.259979,1752.039917
2000.000000,-270.410004,1756.449951
2000.000000,-231.199997,1759.159912
2000.000000,-192.009995,1761.689941
2000.000000,-152.839996,1764.039917
2000.000000,-113.689995,1766.209961
2000.000000,-74.559998,1768.199951
2000.000000,-55.000000,1769.119995
2000.000000,3.640000,1771.619995
2000.000000,42.709999,1773.059937
2000.000000,81.759995,1774.319946
2000.000000,120.790001,1775.399902
2000.000000,159.800003,1776.299927
2000.000000,198.789993,1777.010010
2000.000000,218.279999,1777.299927
2000.000000,276.709991,1777.890015
2000.000000,315.639984,1778.059937
2000.000000,354.549988,1778.049927
2000.000000,393.440002,1777.859985
2000.000000,432.309998,1777.489990
2000.000000,471.160004,1776.939941
2000.000000,490.579987,1776.599976
2000.000000,548.799988,1775.299927
2000.000000,587.589966,1774.209961
2000.000000,626.359985,1772.939941
2000.000000,665.109985,1771.489990
2000.000000,703.839966,1769.859985
2000.000000,742.559998,1768.049927
2000.000000,761.909973,1767.079956
2000.000000,819.940002,1763.890015
2000.000000,858.599976,1761.539917
2000.000000,897.239990,1759.010010
2000.000000,935.859985,1756.309937
2000.000000,974.459961,1753.429932
2000.000000,1013.039978,1750.369995
2000.000000,1051.599976,1747.130005
2000.000000,1090.140015,1743.709961
2000.000000,1128.660034,1740.109985
2000.000000,1167.160034,1736.329956
2000.000000,1205.640015,1732.369995
2000.000000,1244.099976,1728.239990
2000.000000,1282.539917,1723.929932
2000.000000,1320.959961,1719.439941
2000.000000,1359.359985,1714.770020
2000.000000,1397.739990,1709.919922
2000.000000,1436.099976,1704.899902
2000.000000,1474.439941,1699.699951
2000.000000,1512.760010,1694.319946
2000.000000,1551.059937,1688.760010
2000.000000,1589.339966,1683.020020
2000.000000,1627.599976,1677.109985
2000.000000,1665.839966,1671.020020
2000.000000,1704.059937,1664.750000
2000.000000,1742.260010,1658.309937
2000.000000,1780.439941,1651.689941
2000.000000,1818.599976,1644.890015
2000.000000,1856.739990,1637.909912
2000.000000,1894.869995,1630.760010
2000.000000,1932.979980,1623.429932
2000.000000,1971.069946,1615.919922
2000.000000,2009.140015,1608.239990
2000.000000,2047.189941,1600.380005
2000.000000,2085.219971,1592.339966
2000.000000,2123.229980,1584.130005
2000.000000,2142.229980,1579.959961
2000.000000,2199.189941,1567.179932
2000.000000,2237.139893,1558.439941
2000.000000,2275.070068,1549.520020
2000.000000,2312.979980,1540.429932
2000.000000,2350.869873,1531.159912
2000.000000,2388.739990,1521.719971
2000.000000,2426.589844,1512.099976
2000.000000,2445.510010,1507.219971
2000.000000,2502.250000,1492.329956
2000.000000,2540.050049,1482.179932
2000.000000,2577.829834,1471.859985
2000.000000,2615.589844,1461.359985
2000.000000,2653.329834,1450.689941
2000.000000,2691.050049,1439.839966
2000.000000,2709.899902,1434.349976
2000.000000,2766.429932,1417.619995
2000.000000,2804.089844,1406.250000
2000.000000,2841.729980,1394.709961
2000.000000,2879.349854,1382.989990
2000.000000,2916.949951,1371.089966
2000.000000,2954.530029,1359.020020
2000.000000,2973.319824,1352.919922
2000.000000,3029.649902,1334.359985
2000.000000,3067.179932,1321.770020
2000.000000,3104.689941,1309.010010
2000.000000,3142.179932,1296.069946
2000.000000,3179.649902,1282.949951
2000.000000,3217.099854,1269.659912
2000.000000,3235.819824,1262.949951
2000.000000,3291.939941,1242.559937
2000.000000,3329.329834,1228.750000
2000.000000,3366.699951,1214.770020
2000.000000,3404.049805,1200.609985
2000.000000,3441.389893,1186.280029
2000.000000,3478.709961,1171.780029
2000.000000,3516.010010,1157.099976
2000.000000,3534.649902,1149.699951
2000.000000,3590.549805,1127.229980
2000.000000,3627.790039,1112.039917
2000.000000,3665.010010,1096.679932
2000.000000,3702.209961,1081.140015
2000.000000,3739.389893,1065.429932
2000.000000,3776.549805,1049.549927
2000.000000,3813.689941,1033.489990
2000.000000,3850.819824,1017.259949
2000.000000,3887.929932,1000.859985
2000.000000,3925.020020,984.289978
2000.000000,3962.089844,967.549988
2000.000000,3999.139893,950.630005
2000.000000,4036.169922,933.539978
2000.000000,4073.179932,916.279968
2000.000000,4110.169922,898.849976
2000.000000,4147.140137,881.250000
2000.000000,4184.100098,863.469971
2000.000000,4221.040039,845.529968
2000.000000,4239.500000,836.489990
2000.000000,4294.859863,809.119995
2000.000000,4331.739746,790.659973
2000.000000,4368.600098,772.029968
2000.000000,4405.439941,753.229980
2000.000000,4442.259766,734.260010
2000.000000,4479.060059,715.119995
2000.000000,4497.459961,705.479980
2000.000000,4552.620117,676.320007
2000.000000,4589.370117,656.659973
2000.000000,4626.100098,636.839966
2000.000000,4662.810059,616.839966
2000.000000,4699.500000,596.679993
2000.000000,4736.169922,576.339966
2000.000000,4754.500000,566.109985
2000.000000,4809.459961,535.159973
2000.000000,4846.080078,514.320007
2000.000000,4882.679688,493.299988
2000.000000,4919.259766,472.119995
2000.000000,4955.819824,450.759979
2000.000000,4992.359863,429.239990
2000.000000,5028.879883,407.539978
2000.000000,5006.870117,391.910004
2000.000000,4984.979980,376.109985
2000.000000,4963.100098,360.130005
2000.000000,4941.229980,343.989990
2000.000000,4919.370117,327.669983
2000.000000,4897.529785,311.179993
2000.000000,4875.689941,294.519989
2000.000000,4853.870117,277.679993
2000.000000,4832.060059,260.679993
2000.000000,4810.259766,243.500000
2000.000000,4788.469727,226.149994
2000.000000,4766.689941,208.629990
2000.000000,4744.919922,190.929993
2000.000000,4723.159668,173.069992
2000.000000,4701.419922,155.029999
2000.000000,4679.689941,136.830002
2000.000000,4657.969727,118.449997
2000.000000,4636.259766,99.900002
2000.000000,4616.359863,96.709999
2000.000000,4598.259766,107.779999
2000.000000,4580.169922,118.659996
2000.000000,4562.089844,129.349991
2000.000000,4544.020020,139.860001
2000.000000,4525.959961,150.179993
2000.000000,4507.909668,160.309998
2000.000000,4489.870117,170.259995
2000.000000,4471.830078,180.019989
2000.000000,4453.810059,189.589996
2000.000000,4435.790039,198.979996
2000.000000,4417.790039,208.190002
2000.000000,4408.790039,212.720001
2000.000000,4381.810059,226.039993
2000.000000,4363.830078,234.689987
2000.000000,4345.870117,243.159988
2000.000000,4327.909668,251.439987
2000.000000,4309.959961,259.529999
2000.000000,4292.020020,267.440002
2000.000000,4274.089844,275.169983
2000.000000,4256.169922,282.709991
2000.000000,4238.259766,290.070007
2000.000000,4220.359863,297.239990
2000.000000,4202.469727,304.229980
